id,street,houseNumber,houseNumberAddition,postalcode,totalRent,netRent,serviceCosts,heatingCosts,eenmaligeKosten,areaDwelling,constructionYear,isZelfstandig,availableFromDate,availableFromOriginalDate,availableFrom,publicationDate,closingDate,numberOfReactions,huurtoeslagMogelijk,toewijzingModelTypeInCode,infoveldKort,latitude,longitude,urlKey,stad,gemeente,wijk,buurt,corporatie,woningtype,energielabel,verwarming,slaapkamers,keuken,verdieping,actielabel,model,woningsoort,doelgroepen,gescraped_op
131648,Uilenstede,500,60,1183 DE,758.05,630.97,127.08,,2.42,26,,1,2026-05-15T00:00:00.000Z,2026-05-15T00:00:00.000Z,,2026-04-16T07:39:00.000Z,2026-04-23T07:39:00.000Z,118,1,winkelmodel,,52.3202,4.8763,131648-uilenstede-500-60-amstelveen,Amstelveen,Amstelveen,Uilenstede en Kronenburg,,01,Zelf inrichten,Energielabel A,CV collectief,1  slaap/woonkamer,Open keuken,6e verdieping,,aanbodmodel,woningsoort_zelfstandig,jongeren,2026-04-20 00:45
131652,Mudaheerd,39,K1,9737 SW,711.54,580.7,41.9,79.38,0,17,1981,0,2026-04-22T00:00:00.000Z,2026-04-09T00:00:00.000Z,,2026-04-15T07:23:00.000Z,2026-04-22T07:23:00.000Z,0,1,winkelmodel,,53.2505,6.58685,131652-mudaheerd-39-k1-groningen,Groningen,Groningen,Beijum-West,,10,Zelf inrichten,Energielabel A,CV,1  slaap/woonkamer,Gemeenschappelijke keuken,2e verdieping,,aanbodmodel,woningsoort_onzelfstandig,jongeren,2026-04-20 00:45
131665,Omegaplantsoen,114,,2321 KT,670.6,619.95,50.65,,2.42,26,,1,2026-05-16T00:00:00.000Z,2026-05-16T00:00:00.000Z,,2026-04-17T12:01:00.000Z,2026-04-24T12:01:00.000Z,86,1,winkelmodel,,52.1452,4.49369,131665-omegaplantsoen-114-leiden,Leiden,Leiden,Roodenburgerdistrict,,01,Zelf inrichten,Energielabel A+,CV collectief,1  slaap/woonkamer,Open keuken,4e verdieping,,aanbodmodel,woningsoort_zelfstandig,jongeren,2026-04-20 00:45
131667,Kolffpad,647,,2333 BN,827.38,630.97,196.41,,2.42,21,2023,1,2026-05-16T00:00:00.000Z,2026-05-16T00:00:00.000Z,,2026-04-17T12:18:00.000Z,2026-04-24T12:18:00.000Z,59,1,winkelmodel,,52.1691,4.47661,131667-kolffpad-647-leiden,Leiden,Leiden,Boerhaavedistrict,,01,Zelf inrichten,Energielabel A,Stadsverwarming,1  slaap/woonkamer,Open keuken,20ste verdieping,,aanbodmodel,woningsoort_zelfstandig,jongeren,2026-04-20 00:45
131669,Oranjelaan,38,,2515 RH,789.88,652.91,136.97,,2.42,26,,1,2026-05-16T00:00:00.000Z,2026-05-16T00:00:00.000Z,,2026-04-16T07:59:00.000Z,2026-04-23T07:59:00.000Z,83,1,winkelmodel,,52.0718,4.32114,131669-oranjelaan-38-denhaag,Den Haag,Den Haag,Stationsbuurt,,01,Zelf inrichten,Energielabel A,CV collectief,1  slaap/woonkamer,Open keuken,3e verdieping,,aanbodmodel,woningsoort_zelfstandig,jongeren,2026-04-20 00:45
131674,Spaarndamseweg,236,0401,2021 KA,641.26,498.2,143.06,,,21,1998,0,2026-04-22T00:00:00.000Z,2026-04-22T00:00:00.000Z,Binnenkort beschikbaar,2026-04-15T12:33:00.000Z,2026-04-20T10:00:00.000Z,20,,winkelmodel,,52.3933,4.64975,131674-spaarndamseweg-236-0401-haarlem,Haarlem,Haarlem,Transvaalwijk,,33,Zelf inrichten,Energielabel C,,1  slaap/woonkamer,,4e verdieping,,aanbodmodel,woningsoort_onzelfstandig,jongeren,2026-04-20 00:45
131679,Bronland,4,432,6708 WH,649.27,548.56,100.71,,2.42,26,,1,2026-05-16T00:00:00.000Z,2026-05-16T00:00:00.000Z,,2026-04-16T08:02:00.000Z,2026-04-21T08:02:00.000Z,62,1,winkelmodel,,51.9836,5.66422,131679-bronland-4-432-wageningen,Wageningen,Wageningen,Wageningen campus,,01,Zelf inrichten,Energielabel A,CV collectief,1  slaap/woonkamer,Open keuken,3e verdieping,,aanbodmodel,woningsoort_zelfstandig,jongeren,2026-04-20 00:45
131682,Middelweg,26,A,2312 KJ,801.11,713.02,88.09,,2.42,48,,1,2026-05-21T00:00:00.000Z,2026-05-21T00:00:00.000Z,,2026-04-17T12:55:00.000Z,2026-04-24T12:55:00.000Z,88,1,winkelmodel,,52.1586,4.49515,131682-middelweg-26-a-leiden,Leiden,Leiden,Binnenstad-Noord,,01,Zelf inrichten,Energielabel A,CV,1 extra slaapkamer,Dichte keuken,Begane grond,,aanbodmodel,woningsoort_zelfstandig,jongeren,2026-04-20 00:45
131686,Kolffpad,363,,2333 BN,827.38,630.97,196.41,,2.42,21,2023,1,2026-05-17T00:00:00.000Z,2026-05-17T00:00:00.000Z,,2026-04-17T12:27:00.000Z,2026-04-24T12:27:00.000Z,59,1,winkelmodel,,52.169,4.47677,131686-kolffpad-363-leiden,Leiden,Leiden,Boerhaavedistrict,,01,Zelf inrichten,Energielabel A,Stadsverwarming,1  slaap/woonkamer,Open keuken,8e verdieping,,aanbodmodel,woningsoort_zelfstandig,jongeren,2026-04-20 00:45
131691,Dijkgraaf,4,-17A-8,6708 PG,569.52,407.58,161.94,,30,0,1977,0,2026-05-19T00:00:00.000Z,2026-05-19T00:00:00.000Z,,2026-04-17T07:00:00.000Z,2026-04-20T07:00:00.000Z,2,1,winkelmodel,,51.9803,5.65684,131691-dijkgraaf-4--17a-8-wageningen,Wageningen,Wageningen,Wageningen stad,,02,Gemeubileerd,Energielabel D,CV collectief,1  slaap/woonkamer,Gemeenschappelijke keuken,17e verdieping,,aanbodmodel,woningsoort_onzelfstandig,Studentr,2026-04-20 00:45
